Claim_ID,Bind_Date1,Customer_Life_Value1,Age_Insured,Policy_Num,Policy_State,Policy_Start_Date,Policy_Expiry_Date,Policy_BI,Policy_Ded,Policy_Premium,Umbrella_Limit,Insured_Zip,Gender,Education,Occupation,Hobbies,Insured_Relationship,Capital_Gains,Capital_Loss,Garage_Location,Accident_Date,Accident_Type,Collision_Type,Accident_Severity,authorities_contacted,Acccident_State,Acccident_City,Accident_Location,Accident_Hour,Num_of_Vehicles_Involved,Property_Damage,Bodily_Injuries,Witnesses,Police_Report,DL_Expiry_Date,Claims_Date,Auto_Make,Auto_Model,Auto_Year,Vehicle_Color,Vehicle_Cost,Annual_Mileage,DiffIN_Mileage,Low_Mileage_Discount,Commute_Discount,Total_Claim,Injury_Claim,Property_Claim,Vehicle_Claim,Vehicle_Registration,Check_Point,Wait_Policy_BI,Indemnity_Policy_BI,Policy_Duration,Claim_Duration,License_Validity,Claim_Intensity
CC00000001,2022-03-01,22,31,116375016,2,2023-10-04,2024-04-04,500/1000,500,708.64,6000000,470610,0,2,machine-op-inspct,reading,unmarried,53500,0,No,2024-01-06,2,2,2,3,WV,Northbend,4546 Tree St,9,1,0,0,2,1,2025-03-21,2024-01-10,11,21,9,5,8906,17338,5441,0,0,10048.28,1219.0,4153.83,4675.45,VG98O2447,No,500,1000,183,4,440,0.05380344924688412
CC00000002,2022-09-01,16,34,189560103,1,2023-10-21,2024-04-21,100/300,2000,1057.77,0,477382,0,3,tech-support,bungie-jumping,unmarried,0,-57700,No,2024-02-16,0,0,2,0,NC,Riverwood,2003 Maple Hwy,22,3,1,1,1,0,2025-09-01,2024-02-17,1,4,3,2,3308,9809,2825,0,0,12668.14,5979.67,1043.39,5645.08,FN33R3556,No,100,300,183,1,563,0.6436001838344113
CC00000003,2022-10-01,15,27,197359502,1,2023-10-20,2024-04-20,100/300,1000,1384.51,0,476727,0,6,adm-clerical,reading,not-in-family,13100,-38200,No,2024-02-18,2,1,0,2,SC,Springfield,9484 Pine Drive,14,1,0,2,3,2,2026-02-25,2024-02-19,13,20,1,2,1687,15107,5482,0,0,802.77,372.55,82.28,347.94,VI12A3028,No,100,300,183,1,738,0.055808720871008535
CC00000004,2022-01-01,24,28,123790687,0,2023-10-13,2024-04-13,500/1000,1000,986.53,0,472720,0,2,adm-clerical,polo,other-relative,62700,0,No,2024-02-16,2,1,2,0,VA,Columbus,7819 Oak St,11,1,0,0,2,1,2025-08-12,2024-02-17,6,8,1,2,1275,12240,4943,0,0,11316.82,1797.4,5908.36,3611.06,QY82Q7886,No,500,1000,183,1,543,0.28993876668752944
CC00000005,2022-04-01,21,42,145901048,1,2023-09-10,2024-03-10,100/300,500,1315.68,0,600983,0,6,priv-house-serv,camping,wife,0,-39300,No,2024-01-05,2,1,2,2,NC,Hillsdale,3066 Francis Ave,14,1,0,2,1,2,2025-08-30,2024-01-09,10,1,9,4,7921,7839,2747,0,0,13182.13,3330.7,8650.96,1200.47,BQ13U5871,No,100,300,182,4,603,0.17802224115500928
CC00000006,2022-01-01,24,31,132596520,1,2023-10-21,2024-04-21,500/1000,2000,1320.75,0,441491,0,3,farming-fishing,video-games,wife,54100,0,No,2024-02-01,0,1,2,3,WV,Springfield,6315 2nd Lane,20,3,1,0,3,1,2025-06-12,2024-02-05,0,23,5,0,4505,7166,3188,1,0,9789.81,3028.01,1212.54,5549.26,LG11H7913,No,500,1000,183,4,497,0.252084812772699
CC00000007,2022-09-01,16,28,182849748,1,2023-09-06,2024-03-06,250/500,1000,1139.0,6000000,617858,0,5,sales,sleeping,husband,42400,0,No,2024-01-14,0,0,0,1,SC,Northbend,7756 Solo Drive,0,3,1,1,2,2,2025-07-02,2024-01-18,10,1,5,1,3496,8560,5843,0,0,14692.92,1031.28,1082.17,12579.47,MR03H9666,No,250,500,182,4,535,0.10474228814488903
CC00000008,2023-01-01,12,25,124713754,1,2023-10-13,2024-04-13,250/500,1000,954.16,0,473328,0,5,prof-specialty,video-games,husband,53200,0,No,2024-01-18,0,2,0,0,SC,Columbus,4687 5th Drive,22,4,0,0,0,2,2025-12-04,2024-01-21,12,11,0,4,47,13219,3209,0,0,17669.73,2478.74,463.47,14727.52,VD54O6761,No,250,500,183,3,686,0.5198143654936237
CC00000009,2022-09-01,16,37,199704644,1,2023-09-22,2024-03-22,250/500,1000,2047.59,0,439269,0,4,farming-fishing,dancing,other-relative,0,-67800,No,2024-01-09,2,1,1,2,SC,Columbus,9610 Cherokee St,2,1,1,0,3,0,2025-07-09,2024-01-14,0,23,5,3,5260,11744,3677,0,0,19063.54,1501.08,16667.54,894.92,MQ04W8506,No,250,500,182,5,547,0.11549567779885125
CC00000010,2022-05-01,20,40,158942066,0,2023-07-04,2024-01-04,500/1000,2000,1217.69,0,440106,0,4,prof-specialty,reading,wife,24000,0,No,2024-01-26,0,2,0,2,SC,Springfield,9138 1st St,6,3,1,1,0,2,2025-06-09,2024-01-28,4,27,1,4,1492,10318,2375,0,0,3162.76,312.23,949.41,1901.12,AR20I0483,No,500,1000,184,2,500,0.048370780163379
